name,phi,psi,theta,fchl_energy
aspartame,-40,140,,-1297.3391820788383
aspartame,-40,160,,-1297.3391820788383
aspartame,-40,180,,-1297.3391820788383
aspartame,-40,-20,,-1297.3391820788383
aspartame,-40,-40,,-1297.3391820788383
aspartame,-40,-60,,-1297.3391820788383
aspartame,-40,-80,,-1297.3391820788383
aspartame,-40,-100,,-1297.3391820788383
aspartame,-40,-120,,-1297.3391820788383
aspartame,-40,-140,,-1297.3391820788383
aspartame,-40,-160,,-1297.3391820788383
aspartame,-40,-180,,-1297.3391820788383
aspartame,-60,0,,-1297.3391820788383
aspartame,-60,20,,-1297.3391820788383
aspartame,-60,40,,-1297.3391820788383
aspartame,-60,60,,-1297.3391820788383
aspartame,-60,80,,-1297.3391820788383
aspartame,-60,100,,-1297.3391820788383
aspartame,-60,120,,-1297.3391820788383
aspartame,-60,140,,-1297.3391820788383
aspartame,-60,160,,-1297.3391820788383
aspartame,-60,180,,-1297.3391820788383
aspartame,-60,-20,,-1297.3391820788383
aspartame,-60,-40,,-1297.3391820788383
aspartame,-60,-60,,-1297.3391820788383
aspartame,-60,-80,,-1297.3391820788383
aspartame,-60,-100,,-1297.3391820788383
aspartame,-60,-120,,-1297.3391820788383
aspartame,-60,-140,,-1297.3391820788383
aspartame,-60,-160,,-1297.3391820788383
aspartame,-60,-180,,-1297.3391820788383
aspartame,-80,0,,-1297.3391820788383
aspartame,-80,20,,-1297.3391820788383
aspartame,-80,40,,-1297.3391820788383
aspartame,-80,60,,-1297.3391820788383
aspartame,-80,80,,-1297.3391820788383
aspartame,-80,100,,-1297.3391820788383
aspartame,-80,120,,-1297.3391820788383
aspartame,-80,140,,-1297.3391820788383
aspartame,-80,160,,-1297.3391820788383
aspartame,-80,180,,-1297.3391820788383
aspartame,-80,-20,,-1297.3391820788383
aspartame,-80,-40,,-1297.3391820788383
aspartame,-80,-60,,-1297.3391820788383
aspartame,-80,-80,,-1297.3391820788383
aspartame,-80,-100,,-1297.3391820788383
aspartame,-80,-120,,-1297.3391820788383
aspartame,-80,-140,,-1297.3391820788383
aspartame,-80,-160,,-1297.3391820788383
aspartame,-80,-180,,-1297.3391820788383
aspartame,-100,0,,-1297.3391820788383
aspartame,-100,20,,-1297.3391820788383
aspartame,-100,40,,-1297.3391820788383
aspartame,-100,60,,-1297.3391820788383
aspartame,-100,80,,-1297.3391820788383
aspartame,-100,100,,-1297.3391820788383
aspartame,-100,120,,-1297.3391820788383
aspartame,-100,140,,-1297.3391820788383
aspartame,-100,160,,-1297.3391820788383
aspartame,-100,180,,-1297.3391820788383
aspartame,-100,-20,,-1297.3391820788383
aspartame,-100,-40,,-1297.3391820788383
aspartame,-100,-60,,-1297.3391820788383
aspartame,-100,-80,,-1297.3391820788383
aspartame,-100,-100,,-1297.3391820788383
aspartame,-100,-120,,-1297.3391820788383
aspartame,-100,-140,,-1297.3391820788383
aspartame,-100,-160,,-1297.3391820788383
aspartame,-100,-180,,-1297.3391820788383
aspartame,-120,0,,-1297.3391820788383
