name,phi,psi,theta,energy
aspartame,-80,100,nan,-28019.599221750108
aspartame,-80,120,nan,-28019.58839542845
aspartame,-80,140,nan,-28019.669171880745
aspartame,-80,160,nan,-28019.485747825427
aspartame,-80,180,nan,-28019.571496341992
aspartame,-80,20,nan,-28019.62589815933
aspartame,-80,40,nan,-28019.61629117984
aspartame,-80,60,nan,-28019.474143258154
aspartame,-80,80,nan,-28019.6055437712
aspartame,0,-100,nan,-28020.149326838164
aspartame,0,-120,nan,-28010.12662051311
aspartame,0,-140,nan,-28016.813386544472
aspartame,0,-160,nan,-28019.615530621624
aspartame,0,-180,nan,-28012.417594096165
aspartame,0,-20,nan,-28003.183688951918
aspartame,0,-40,nan,-28019.955498509775
aspartame,0,-60,nan,-28017.648002990052
aspartame,0,-80,nan,-28016.057941079456
aspartame,0,0,nan,-28019.25437540485
aspartame,0,100,nan,-28012.11389680738
aspartame,0,120,nan,-28020.115850575938
aspartame,0,140,nan,-28015.225792978614
aspartame,0,160,nan,-28018.15007236431
aspartame,0,180,nan,-28019.8028869942
aspartame,0,20,nan,-28019.203096638183
aspartame,0,40,nan,-28013.10146055703
aspartame,0,60,nan,-28019.768236560703
aspartame,0,80,nan,-28015.447432703095
aspartame,100,-100,nan,-28019.94908342575
aspartame,100,-120,nan,-28012.82071770422
aspartame,100,-140,nan,-28020.206224483733
aspartame,100,-160,nan,-28019.192094258862
aspartame,100,-180,nan,-28018.433898539162
aspartame,100,-20,nan,-28017.774115514636
aspartame,100,-40,nan,-28020.133671584117
aspartame,100,-60,nan,-28017.577625640675
aspartame,100,-80,nan,-28019.887317935503
aspartame,100,0,nan,-28017.244632030517
aspartame,100,100,nan,-28012.629160710134
aspartame,100,120,nan,-28020.09369942005
aspartame,100,140,nan,-28019.731803509378
aspartame,100,160,nan,-28017.832789519427
aspartame,100,180,nan,-28020.199187347447
aspartame,100,20,nan,-28020.32064291559
aspartame,100,40,nan,-28018.10497656855
aspartame,100,60,nan,-28019.38942877422
