name,phi,psi,theta,cnn_energy
aspartame,0.0,-40.0,,-645982.0164933556
aspartame,0.0,40.0,,-645888.4059434289
aspartame,0.0,-60.0,,-645905.6461930627
aspartame,0.0,60.0,,-645967.7624650353
aspartame,0.0,-80.0,,-645902.9212785119
aspartame,0.0,80.0,,-645924.0812363976
aspartame,-100.0,0.0,,-645991.8811173791
aspartame,100.0,0.0,,-645936.8683457726
aspartame,-100.0,-100.0,,-645979.9160905236
aspartame,-100.0,100.0,,-645971.0524430627
aspartame,100.0,-100.0,,-645981.6871171349
aspartame,100.0,100.0,,-645917.7163224572
aspartame,-100.0,-120.0,,-645963.253950631
aspartame,-100.0,120.0,,-645976.1947465295
aspartame,100.0,-120.0,,-645918.4555192345
aspartame,100.0,120.0,,-645980.0007157677
aspartame,-100.0,-140.0,,-645913.6345811242
aspartame,-100.0,140.0,,-645910.80335859
aspartame,100.0,-140.0,,-645992.751997506
aspartame,100.0,140.0,,-645964.0275407189
aspartame,-100.0,-160.0,,-645982.0175004357
aspartame,-100.0,160.0,,-645981.3140397423
aspartame,100.0,-160.0,,-645949.3545976037
aspartame,100.0,160.0,,-645921.3268113488
aspartame,-100.0,-180.0,,-645928.0116563195
aspartame,-100.0,180.0,,-645939.6207871789
aspartame,100.0,-180.0,,-645926.0227342003
aspartame,100.0,180.0,,-645982.5610795373
aspartame,-100.0,-20.0,,-645911.7534776086
aspartame,-100.0,20.0,,-645919.5487199181
aspartame,100.0,-20.0,,-645941.8623338097
aspartame,100.0,20.0,,-645986.8469682091
aspartame,-100.0,-40.0,,-645949.2563615197
aspartame,-100.0,40.0,,-645935.4326768273
aspartame,100.0,-40.0,,-645977.5487809533
aspartame,100.0,40.0,,-645923.9207902306
aspartame,-100.0,-60.0,,-645974.4930863732
aspartame,-100.0,60.0,,-645989.328535592
aspartame,100.0,-60.0,,-645913.0473008507
aspartame,100.0,60.0,,-645962.1506181115
aspartame,-100.0,-80.0,,-645902.210478341
aspartame,-100.0,80.0,,-645914.1904893273
aspartame,100.0,-80.0,,-645979.412153756
aspartame,100.0,80.0,,-645986.9140153283
aspartame,-120.0,0.0,,-645933.3467545861
aspartame,120.0,0.0,,-645985.4101395959
aspartame,-120.0,-100.0,,-645986.6622453087
aspartame,-120.0,100.0,,-645921.997221505
aspartame,120.0,-100.0,,-645985.1841264123
aspartame,120.0,100.0,,-645978.8328080529
aspartame,-120.0,-120.0,,-645928.5645280236
aspartame,-120.0,120.0,,-645988.0713029259
aspartame,120.0,-120.0,,-645972.826582467
aspartame,120.0,120.0,,-645972.9501176232
aspartame,-120.0,-140.0,,-645990.6889481896
aspartame,-120.0,140.0,,-645977.8192582482
aspartame,120.0,-140.0,,-645923.8997941369
aspartame,120.0,140.0,,-645918.6983170861
aspartame,-120.0,-160.0,,-645960.6890092248
aspartame,-120.0,160.0,,-645925.387846505
aspartame,120.0,-160.0,,-645979.887342965
aspartame,120.0,160.0,,-645980.9693131798
aspartame,-120.0,-180.0,,-645943.7704148644
aspartame,-120.0,180.0,,-645989.7146439904
aspartame,120.0,-180.0,,-645943.7283769005
aspartame,120.0,180.0,,-645937.9034562462
aspartame,-120.0,-20.0,,-645947.4114823693
aspartame,-120.0,20.0,,-645984.4398942345
aspartame,120.0,-20.0,,-645923.0965714806
aspartame,120.0,20.0,,-645920.4258408898
aspartame,-120.0,-40.0,,-645990.2788224572
aspartame,-120.0,40.0,,-645930.1920457238
aspartame,120.0,-40.0,,-645950.1213822716
aspartame,120.0,40.0,,-645953.4707169884
aspartame,-120.0,-60.0,,-645921.2179093712
aspartame,-120.0,60.0,,-645969.6363358849
aspartame,120.0,-60.0,,-645986.8149857873
aspartame,120.0,60.0,,-645993.5050492638
aspartame,-120.0,-80.0,,-645977.2820268029
aspartame,-120.0,80.0,,-645989.4370560998
aspartame,120.0,-80.0,,-645911.1712937707
aspartame,120.0,80.0,,-645917.8993668908
aspartame,-140.0,0.0,,-646010.8886247033
aspartame,140.0,0.0,,-645961.6179643029
aspartame,-140.0,-100.0,,-646001.8470902795
aspartame,-140.0,100.0,,-646007.3708024377
