name,phi,psi,theta,gaff_energy
aspartame,120,-120,,155.34170114662882
aspartame,120,-140,,6247.160615650508
aspartame,120,-160,,56.845075038003955
aspartame,120,-180,,262.66939973096913
aspartame,120,-20,,2655.070964694692
aspartame,120,-40,,399.71968289910376
aspartame,120,-60,,60.78857672203597
aspartame,120,-80,,901.8999800194097
aspartame,120,0,,32.868584907918105
aspartame,120,100,,104.83620664713945
aspartame,120,120,,63.54653403782365
aspartame,120,140,,829.0799212068937
aspartame,120,160,,57.15860985684199
aspartame,120,180,,675.2093165309335
aspartame,120,20,,403.2587578405924
aspartame,120,40,,195.30579477657056
aspartame,120,60,,60.77466172313083
aspartame,120,80,,7766.717522965425
aspartame,140,-100,,737.3575242165252
aspartame,140,-120,,746.6359032627812
aspartame,140,-140,,745.0124713780389
aspartame,140,-160,,762.0525060989299
aspartame,140,-180,,745.1813980688268
aspartame,140,-20,,750.3675265659456
aspartame,140,-40,,748.5918770845549
aspartame,140,-60,,759.7701804659008
aspartame,140,-80,,737.6170885911704
aspartame,140,0,,740.1260555074466
aspartame,140,100,,745.3628069104027
aspartame,140,120,,736.9232975195399
aspartame,140,140,,738.2553737399475
aspartame,140,160,,761.1460119513974
aspartame,140,180,,746.7881917260347
aspartame,140,20,,735.2654082559225
aspartame,140,40,,747.4559089292608
aspartame,140,60,,761.3316340203934
aspartame,140,80,,745.284667195277
aspartame,160,-100,,2072.11061543478
aspartame,160,-120,,2077.3046673278077
aspartame,160,-140,,2075.5732391742545
aspartame,160,-160,,2094.8887501599465
aspartame,160,-180,,2078.427301515129
aspartame,160,-20,,2080.020882352108
aspartame,160,-40,,2080.946816696795
aspartame,160,-60,,2092.610008045492
aspartame,160,-80,,2071.4094302998237
aspartame,160,0,,2073.916453342336
aspartame,160,100,,2076.489296851281
aspartame,160,120,,2070.919205791555
aspartame,160,140,,2071.659371477222
aspartame,160,160,,2093.862216802176
aspartame,160,180,,2078.862316363565
aspartame,160,20,,2070.202079584572
aspartame,160,40,,2079.733703290099
aspartame,160,60,,2093.483293678717
aspartame,160,80,,2076.701384820567
aspartame,180,-100,,1.7437412088095243
aspartame,180,-120,,9.365911184313575
aspartame,180,-140,,2.547097804528377
aspartame,180,-160,,22.390880110819822
aspartame,180,-180,,7.059923919805598
aspartame,180,-20,,9.911248348820749
aspartame,180,-40,,7.190201499739828
aspartame,180,-60,,21.05337397477099
aspartame,180,-80,,-0.17207053141787299
aspartame,180,0,,4.576924497981139
aspartame,180,100,,8.552419137464497
aspartame,180,120,,1.203418666605728
aspartame,180,140,,0.5097626732450209
aspartame,180,160,,22.125896170145495
aspartame,180,180,,5.3013740163079035
aspartame,180,20,,-1.1577894244189793
aspartame,180,40,,9.10151377241526
aspartame,180,60,,21.12163176718684
aspartame,180,80,,3.195938685123437
aspartame,20,-100,,28.594016616000417
aspartame,20,-120,,36.61844751412542
aspartame,20,-140,,116.60096140345831
aspartame,20,-160,,51.79540611680612
aspartame,20,-180,,34.852827176737335
aspartame,20,-20,,64.17851223506327
aspartame,20,-40,,73.42262594089988
aspartame,20,-60,,46.35687178444897
aspartame,20,-80,,36.737897024406934
aspartame,20,0,,28.305634857090936
aspartame,20,100,,34.42688044211654
aspartame,20,120,,29.248710286468935
aspartame,20,140,,35.75198015967206
aspartame,20,160,,47.70397794318575
aspartame,20,180,,83.06444428547204
aspartame,20,20,,37.09353518748591
aspartame,20,40,,35.98410981760331
aspartame,20,60,,52.307007692592066
aspartame,20,80,,113.03744468645826
aspartame,40,-100,,34306.508115367906
aspartame,40,-120,,34321.38150838227
aspartame,40,-140,,34321.05384962694
aspartame,40,-160,,34317.998583961926
aspartame,40,-180,,34314.16123831877
aspartame,40,-20,,34339.72678390533
aspartame,40,-40,,34319.33175215252
aspartame,40,-60,,34332.775579967565
aspartame,40,-80,,34326.185399874565
aspartame,40,0,,34321.92776336401
aspartame,40,100,,34321.1244180271
aspartame,40,120,,34295.43732685322
aspartame,40,140,,34328.37164671143
aspartame,40,160,,34322.64417625905
aspartame,40,180,,34320.65672554905
aspartame,40,20,,34307.74956048929
aspartame,40,40,,34324.094012591566
aspartame,40,60,,34345.74052022828
aspartame,40,80,,34325.81359143739
aspartame,60,-100,,732.0235787230445
aspartame,60,-120,,738.105627713546
aspartame,60,-140,,733.7852672763078
aspartame,60,-160,,753.9971570542274
aspartame,60,-180,,737.9700527870638
aspartame,60,-20,,739.0541967191418
aspartame,60,-40,,739.1551309518355
aspartame,60,-60,,752.0208262330149
aspartame,60,-80,,730.9164281164624
aspartame,60,0,,734.3022377081883
aspartame,60,100,,737.56788963922
aspartame,60,120,,731.6552268699053
aspartame,60,140,,731.284080699567
aspartame,60,160,,753.4887690055597
aspartame,60,180,,737.143563192889
aspartame,60,20,,729.6224337322544
aspartame,60,40,,739.7239881199285
aspartame,60,60,,752.8341141578794
aspartame,60,80,,734.2153917694409
aspartame,80,-100,,11.107422659293547
aspartame,80,-120,,20.01667316392647
